school_name,district_name,year,grad_rate,cohort_size,sat_total,sat_math,sat_reading,sat_writing,school_grade,grade_score,mobility_rate,mobility_count,discipline_percent,hope_eligible_count,hope_eligible_percent
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.50920000000001,69.0,47.92
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,49.5716,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,49.604,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.612,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.5236,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.0288,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.108,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,52.38680000000001,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.504000000000005,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.714,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,50.5208,,
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,52.0,,
BAKER COUNTY LEARNING ACADEMY,Baker County,2023-24,,,,,,,,,83.30000000000001,6.0,,,
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.8782,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.8648,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.912600000000005,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.8416,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.7452,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.3844,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.7314,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.815,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,49.7508,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,50.113600000000005,69.0,32.09
BALDWIN HIGH SCHOOL,Baldwin County,2023-24,83.57,239.0,970.9,459.6,260.4,250.9,,,4.800000000000001,1280.0,50.0912,69.0,32.09
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,50.0,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,51.003800000000005,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,51.962,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,52.1648,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,52.016000000000005,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,50.80040000000001,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,51.6802,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,51.345,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,50.1944,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,51.2324,98.0,51.58
BANKS COUNTY HIGH SCHOOL,Banks County,2023-24,92.23,178.0,1022.5,494.5,271.2,256.8,,,3.1,827.0,50.8892,98.0,51.58
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.571200000000005,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.725,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.4128,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.564,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.33,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.2064,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.672,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.748000000000005,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,50.57600000000001,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,51.221,199.0,53.21
APALACHEE HIGH SCHOOL,Barrow County,2023-24,90.69,370.0,978.3,474.2,260.0,244.2,,,6.1000000000000005,1944.0,51.5552,199.0,53.21
BARROW ARTS AND SCIENCES ACADEMY,Barrow County,2023-24,98.55,204.0,,,,,,,0.8,966.0,50.0,155.0,75.98
BARROW ARTS AND SCIENCES ACADEMY,Barrow County,2023-24,98.55,204.0,,,,,,,0.8,966.0,49.0172,155.0,75.98
BARROW ARTS AND SCIENCES ACADEMY,Barrow County,2023-24,98.55,204.0,,,,,,,0.8,966.0,49.4808,155.0,75.98
BARROW ARTS AND SCIENCES ACADEMY,Barrow County,2023-24,98.55,204.0,,,,,,,0.8,966.0,47.996,155.0,75.98
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.680200000000006,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.624,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.66780000000001,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.9016,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.532,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.936,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.2992,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.36,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.446200000000005,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,50.6944,166.0,46.89
WINDER-BARROW HIGH SCHOOL,Barrow County,2023-24,88.6,342.0,1030.2,497.2,271.9,261.0,,,5.6000000000000005,1868.0,51.2636,166.0,46.89
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.393800000000006,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,51.398,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.338800000000006,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.1376,175.0,58.72
